    
-1 0.649 0.714 0.82 1.33
-0.99 0.721 0.691 0.807 1.31
-0.98 0.641 0.673 0.794 1.3
-0.97 0.714 0.668 0.781 1.28
-0.96 0.69 0.663 0.77 1.26
-0.95 0.591 0.649 0.758 1.24
-0.94 0.617 0.646 0.748 1.22
-0.93 0.674 0.665 0.738 1.2
-0.92 0.7 0.682 0.728 1.19
-0.91 0.654 0.682 0.72 1.17
-0.9 0.696 0.679 0.711 1.15
-0.89 0.662 0.675 0.704 1.13
-0.88 0.664 0.665 0.697 1.12
-0.87 0.621 0.659 0.691 1.1
-0.86 0.715 0.658 0.685 1.08
-0.85 0.675 0.658 0.68 1.07
-0.84 0.64 0.659 0.675 1.05
-0.83 0.649 0.66 0.671 1.03
-0.82 0.645 0.666 0.668 1.02
-0.81 0.677 0.673 0.665 1
-0.8 0.71 0.673 0.663 0.986
-0.79 0.686 0.676 0.661 0.971
-0.78 0.655 0.686 0.659 0.956
-0.77 0.685 0.687 0.658 0.941
-0.76 0.726 0.67 0.657 0.926
-0.75 0.641 0.653 0.656 0.912
-0.74 0.63 0.651 0.656 0.897
-0.73 0.683 0.65 0.655 0.883
-0.72 0.627 0.646 0.655 0.869
-0.71 0.642 0.646 0.655 0.856
-0.7 0.651 0.656 0.655 0.842
-0.69 0.709 0.666 0.655 0.829
-0.68 0.668 0.668 0.656 0.815
-0.67 0.687 0.664 0.656 0.802
-0.66 0.676 0.657 0.656 0.79
-0.65 0.636 0.661 0.656 0.777
-0.64 0.73 0.671 0.656 0.765
-0.63 0.621 0.665 0.656 0.752
-0.62 0.695 0.664 0.657 0.74
-0.61 0.688 0.676 0.657 0.729
-0.6 0.655 0.681 0.657 0.717
-0.59 0.702 0.674 0.657 0.705
-0.58 0.649 0.669 0.656 0.694
-0.57 0.664 0.669 0.656 0.683
-0.56 0.661 0.669 0.656 0.672
-0.55 0.73 0.666 0.656 0.662
-0.54 0.574 0.665 0.656 0.651
-0.53 0.724 0.662 0.656 0.641
-0.52 0.601 0.654 0.655 0.631
-0.51 0.684 0.652 0.655 0.621
-0.5 0.674 0.651 0.655 0.611
-0.49 0.662 0.665 0.654 0.602
-0.48 0.672 0.682 0.654 0.592
-0.47 0.67 0.679 0.654 0.583
-0.46 0.634 0.663 0.654 0.574
-0.45 0.633 0.658 0.653 0.566
-0.44 0.698 0.666 0.653 0.557
-0.43 0.697 0.669 0.653 0.549
-0.42 0.622 0.664 0.653 0.54
-0.41 0.646 0.66 0.653 0.533
-0.4 0.659 0.653 0.653 0.525
-0.39 0.604 0.646 0.653 0.517
-0.38 0.678 0.649 0.653 0.51
-0.37 0.688 0.653 0.653 0.503
-0.36 0.68 0.66 0.653 0.496
-0.35 0.639 0.667 0.653 0.489
-0.34 0.695 0.674 0.653 0.482
-0.33 0.675 0.672 0.653 0.476
-0.32 0.645 0.657 0.654 0.469
-0.31 0.621 0.643 0.654 0.463
-0.3 0.684 0.651 0.654 0.458
-0.29 0.668 0.672 0.655 0.452
-0.28 0.684 0.685 0.655 0.446
-0.27 0.729 0.682 0.655 0.441
-0.26 0.665 0.675 0.656 0.436
-0.25 0.653 0.671 0.656 0.431
-0.24 0.759 0.666 0.656 0.427
-0.23 0.636 0.659 0.657 0.422
-0.22 0.617 0.662 0.657 0.418
-0.21 0.725 0.672 0.657 0.414
