 
1 8.34
2 8.34
3 0.122
4 0.123
5 0.125
6 0.127
7 0.028
8 0.0325
9 0.0328
10 0.0329
11 0.0222
12 0.0223
13 0.0223
14 0.0226
15 0.0246
16 0.0309
17 0.0414
18 0.0414
19 0.0437
20 0.0437
21 0.0446
22 0.0531
23 0.0525
24 0.0527
25 0.0527
26 0.0614
27 0.0611
28 0.0651
29 0.0655
30 0.069
31 0.0689
32 0.0693
33 0.072
34 0.0742
35 0.0751
36 0.0784
37 0.0796
38 0.0805
39 0.0809
40 0.0812
41 0.0916
42 0.0939
43 0.0945
44 0.0947
45 0.0985
46 0.104
47 0.106
48 0.108
49 0.108
50 0.134
51 0.137
52 0.144
53 0.144
54 0.144
55 0.144
56 0.144
57 0.144
58 0.145
59 0.151
60 0.151
61 0.152
62 0.156
63 0.158
64 0.165
65 0.168
66 0.17
67 0.17
68 0.174
69 0.175
70 0.176
71 0.181
72 0.181
73 0.185
74 0.187
75 0.187
76 0.187
77 0.189
78 0.19
79 0.192
80 0.196
81 0.197
82 0.198
83 0.213
84 0.213
85 0.217
86 0.223
87 0.225
88 0.225
89 0.225
90 0.227
91 0.228
92 0.228
93 0.229
94 0.235
95 0.236
96 0.236
97 0.236
98 0.236
99 0.24
100 0.24
111 0.247
120 0.275
131 0.288
140 0.312
151 0.363
160 0.378
171 0.376
180 0.429
191 0.443
200 0.472
211 0.474
220 0.512
231 0.537
240 0.563
251 0.627
260 0.615
271 0.672
280 0.693
291 0.818
300 0.831
311 0.854
320 0.88
331 0.945
340 0.913
351 0.983
360 1.01
371 1.03
380 1.09
391 1.1
400 1.11
411 1.09
420 1.1
431 1.14
440 1.13
451 1.14
460 1.13
471 1.15
480 1.14
491 1.33
500 1.35
511 1.36
520 1.29
531 1.34
540 1.38
551 1.46
560 1.5
571 1.51
580 1.53
591 1.54
600 1.54
611 1.57
620 1.54
631 1.76
640 1.78
651 1.77
660 1.81
671 1.84
680 1.81
691 1.8
700 1.88
711 1.91
720 1.94
731 1.97
740 2.02
751 2.04
760 2.08
771 2.09
780 2.16
791 2.22
800 2.21
811 2.22
820 2.3
831 2.58
840 2.64
851 2.7
860 2.74
871 2.77
880 2.79
891 2.78
900 2.8
911 2.87
920 2.86
931 2.85
940 2.75
951 2.73
960 2.75
971 2.86
980 3.04
991 3.1
1e+03 3.14
1e+03 3.14
1.2e+03 3.06
1.4e+03 3.33
1.6e+03 4.11
1.8e+03 4.55
2e+03 5.04
2.2e+03 5.6
2.4e+03 6.04
2.6e+03 6.56
2.8e+03 7.52
3e+03 7.83
3.2e+03 8.36
3.4e+03 9.05
3.6e+03 9.1
3.8e+03 9.83
4e+03 10.5
4.2e+03 11
4.4e+03 10.2
4.6e+03 11.2
4.8e+03 12.2
5e+03 13
5.2e+03 13.9
5.4e+03 13.3
5.6e+03 14.1
5.8e+03 15.2
6e+03 14.5
6.2e+03 16.2
6.4e+03 17.6
6.6e+03 18.5
6.8e+03 19.6
7e+03 20.1
7.2e+03 20
7.4e+03 19.2
7.6e+03 19.8
7.8e+03 20.3
8e+03 20.5
8.2e+03 20.1
8.4e+03 20.1
8.6e+03 22.4
8.8e+03 23.2
9e+03 24.2
9.2e+03 24
9.4e+03 24.9
9.6e+03 23.6
9.8e+03 24.3
1e+04 26
