     
5 1 0.75 0.24 -0.0943 0.00695
6 1 0.493 0.408 0.211 0.183
7 1 0.47 0.395 0.164 0.116
8 1 0.395 0.45 -0.0523 0.335
9 1 0.43 0.4 0.0246 0.149
10 1 0.429 0.419 0.00229 0.189
11 1 0.371 0.37 0.127 0.066
12 1 0.459 0.256 0.112 0.225
13 1 0.324 0.171 0.0965 0.189
14 1 0.393 0.0914 0.045 0.179
15 1 0.32 -0.103 0.227 0.271
16 1 0.451 -0.113 -0.0013 0.458
17 1 0.493 0.085 -0.0231 0.158
18 1 0.55 0.177 0.18 0.11
19 1 0.479 0.13 0.138 0.045
20 1 0.535 0.0768 0.0889 0.00567
21 1 0.542 0.152 0.0266 -0.049
22 1 0.526 0.173 0.171 -0.158
23 1 0.579 0.197 0.193 0.042
24 1 0.652 0.277 0.22 0.0724
25 1 0.661 0.298 0.239 0.0797
26 1 0.621 0.308 0.29 0.134
27 1 0.623 0.306 0.291 0.137
28 1 0.582 0.327 0.26 0.152
29 1 0.59 0.324 0.265 0.148
30 1 0.59 0.307 0.269 0.133
31 1 0.561 0.298 0.179 0.15
32 1 0.625 0.31 0.19 0.0837
33 1 0.626 0.312 0.19 0.0839
34 1 0.632 0.301 0.17 0.0779
35 1 0.634 0.31 0.159 0.0555
36 1 0.635 0.313 0.167 0.0459
37 1 0.628 0.314 0.174 0.0672
38 1 0.569 0.29 0.155 0.0493
39 1 0.603 0.274 0.15 0.0436
40 1 0.604 0.297 0.14 0.0412
41 1 0.593 0.29 0.108 0.0522
42 1 0.54 0.281 0.108 0.105
43 1 0.577 0.239 0.109 0.108
44 1 0.547 0.205 0.123 0.102
45 1 0.536 0.209 0.131 0.0966
46 1 0.541 0.181 0.145 0.123
47 1 0.547 0.188 0.127 0.134
48 1 0.539 0.177 0.117 0.153
49 1 0.495 0.173 0.13 0.164
50 1 0.53 0.136 0.129 0.182
51 1 0.532 0.137 0.128 0.182
52 1 0.507 0.156 0.156 0.161
53 1 0.466 0.17 0.123 0.117
54 1 0.496 0.148 0.14 0.0906
55 1 0.5 0.185 0.116 0.109
