   
1 8.35 NaN NaN
2 NaN NaN NaN
3 8.35 -101 561
4 5.77 -57.8 120
5 4.12 -34.9 -19.7
6 4.1 -34.7 -21.3
7 4.1 -34.2 -22.9
8 3.79 -30.9 -16
9 3.79 -30.8 -17.9
10 2.86 -23.2 -4.56
11 0.752 1.22 -0.259
12 -0.116 -1.14 -0.118
13 -0.0811 -0.974 0.0866
14 2.05 2.82 1.13
15 2.05 2.82 1.12
16 2.05 1.94 1.61
17 1.6 1.7 0.975
18 1.6 1.69 0.969
19 1.6 1.69 0.968
20 1.55 1.7 1.12
21 1.58 1.64 1.11
22 1.53 1.65 1.02
23 1.59 1.69 1.25
24 1.92 1.38 1.26
25 2.45 2.12 1.53
26 2.77 2.45 2.08
27 4.26 2.86 3.8
28 4.85 3.5 4.29
29 4.96 3.59 4.44
30 4.96 3.57 4.42
31 4.85 3.62 4.26
32 4.95 3.75 4.13
33 5.04 3.81 4.23
34 5.07 3.85 4.27
35 5.06 3.85 4.26
36 4.4 3.31 2.24
37 2.77 2.51 1.48
38 0.876 0.872 -0.0801
39 0.902 0.838 -0.084
40 0.905 0.844 -0.0852
41 0.907 0.85 -0.0791
42 0.909 0.851 -0.0771
43 0.908 0.854 -0.0761
44 0.909 0.852 -0.0719
45 0.933 0.834 -0.079
46 0.935 0.831 -0.0781
47 0.939 0.825 -0.0688
48 1.05 0.811 -0.178
49 1.15 2.24 0.121
50 1.15 2.24 0.124
51 1.15 2.23 0.127
52 1.15 2.23 0.13
53 1.15 2.23 0.136
54 1.13 2.21 0.126
55 1.13 2.2 0.121
56 1.07 2.1 -0.0265
57 1.07 2.01 -0.189
58 1.24 1.75 0.195
59 1.58 1.69 0.355
60 1.62 1.89 0.388
61 1.62 1.89 0.388
62 1.62 1.88 0.388
63 1.62 1.88 0.388
64 1.62 1.88 0.389
65 1.62 1.89 0.391
66 1.57 1.92 0.349
67 1.52 1.68 0.415
68 1.39 1.61 0.268
69 1.3 1.16 0.00239
70 1.11 1.11 -0.265
71 1.15 0.876 -0.351
72 0.935 0.932 -0.48
73 0.936 0.931 -0.48
74 0.938 0.929 -0.478
75 0.974 0.907 -0.437
76 1.06 0.959 -0.454
77 1.08 1.07 -0.385
78 1.18 1.08 -0.173
79 1.01 1.22 -0.135
80 1.1 1.09 -0.0379
81 1.39 1.16 -0.0981
82 1.36 1.3 -0.0773
83 1.35 1.28 -0.0221
84 1.41 1.25 -0.0192
85 1.41 1.26 -0.0243
86 1.45 1.26 0.0218
87 1.45 1.25 0.0231
88 1.45 1.25 0.0244
89 1.45 1.25 0.0233
90 1.45 1.25 0.0197
91 1.45 1.2 0.0434
92 1.45 1.2 0.0391
93 1.41 1.29 0.0141
94 1.38 1.28 0.0353
95 1.38 1.28 0.035
96 1.39 1.28 0.0338
97 1.39 1.28 0.0349
98 1.4 1.27 0.0524
99 1.4 1.27 0.0504
100 1.39 1.27 0.0537
110 1.79 1.48 -0.185
120 1.76 1.48 -0.168
130 2.78 1.41 0.497
140 2.8 1.45 0.52
150 3.65 1.8 0.823
160 3.2 1.85 0.584
170 3.77 2.11 0.989
180 3.5 2.24 0.793
190 3.7 2.06 0.809
200 4.25 2.37 1.23
210 4.21 2.34 1.21
220 4.22 2.4 1.24
230 3.98 2.32 1.05
240 3.87 2.41 1
250 3.95 2.63 1.12
260 4.17 2.68 1.27
270 4 2.7 1.12
280 4.11 2.82 1.2
290 4.14 2.84 1.16
300 4.1 2.81 1.37
310 3.77 2.7 1.33
320 3.49 2.36 1.22
330 3.57 2.39 1.11
340 3.47 2.24 1.07
350 3.43 2.26 1.06
360 3.33 2.25 1.05
370 3.35 2.29 1.08
380 3.06 2.09 0.929
390 2.95 2.01 0.893
400 2.73 1.91 0.759
410 2.73 1.91 0.754
420 2.59 1.82 0.722
430 2.64 1.81 0.676
440 2.78 1.81 0.74
450 2.79 1.84 0.764
460 2.69 1.78 0.744
470 2.66 1.72 0.711
480 2.69 1.75 0.774
490 2.74 1.73 0.772
500 2.75 1.76 0.763
510 2.72 1.73 0.764
520 2.72 1.73 0.768
530 2.72 1.73 0.773
540 2.68 1.71 0.797
550 2.64 1.7 0.784
560 2.63 1.74 0.744
570 2.71 1.7 0.719
580 2.71 1.7 0.732
590 2.74 1.75 0.708
600 2.84 1.83 0.811
610 2.85 1.99 0.849
620 2.81 2.01 0.864
630 2.86 2.03 0.878
640 2.93 2.09 0.966
650 2.78 2.05 0.915
660 2.77 2.01 0.923
670 2.79 2.06 0.906
680 2.82 2.07 0.901
690 2.84 2.1 0.913
700 2.84 2.08 0.924
710 2.9 2.12 0.912
720 2.83 2.04 0.892
730 2.82 2.05 0.886
740 2.82 2.03 0.901
750 2.82 2.03 0.902
760 2.81 2.02 0.901
770 2.83 2 0.91
780 2.83 2 0.923
790 2.76 1.95 0.9
800 2.67 1.87 0.839
810 2.73 1.92 0.798
820 2.73 1.93 0.799
830 2.73 1.9 0.764
840 2.65 1.86 0.697
850 2.62 1.84 0.687
860 2.51 1.84 0.702
870 2.45 1.77 0.716
880 2.45 1.81 0.74
890 2.45 1.78 0.72
900 2.4 1.77 0.734
910 2.41 1.78 0.738
920 2.41 1.78 0.75
930 2.4 1.77 0.728
940 2.33 1.73 0.683
950 2.25 1.67 0.676
960 2.23 1.67 0.661
970 2.22 1.65 0.668
980 2.18 1.59 0.635
990 2.31 1.67 0.656
1e+03 2.3 1.66 0.649
1.1e+03 2.07 1.47 0.67
1.2e+03 2.29 1.68 0.797
1.3e+03 2.3 1.62 0.832
1.4e+03 2.4 1.62 0.845
1.5e+03 2.17 1.44 0.739
1.6e+03 2.26 1.45 0.745
1.7e+03 2.38 1.59 0.715
1.8e+03 2.41 1.55 0.812
1.9e+03 2.5 1.64 0.868
2e+03 2.63 1.74 0.86
2.1e+03 2.72 1.74 0.842
2.2e+03 2.83 1.75 0.875
2.3e+03 2.75 1.7 0.819
2.4e+03 2.73 1.71 0.799
2.5e+03 2.94 1.88 0.895
2.6e+03 2.97 1.92 0.971
2.7e+03 2.97 1.93 0.94
2.8e+03 3.03 1.92 0.937
2.9e+03 3.03 1.92 0.918
3e+03 3.01 1.91 0.891
3.1e+03 2.93 1.87 0.876
3.2e+03 2.84 1.83 0.854
3.3e+03 2.84 1.84 0.853
3.4e+03 2.87 1.87 0.832
3.5e+03 2.79 1.82 0.774
3.6e+03 2.8 1.83 0.78
3.7e+03 2.8 1.84 0.78
3.8e+03 2.77 1.83 0.763
3.9e+03 2.77 1.86 0.773
4e+03 2.75 1.86 0.775
4.1e+03 2.71 1.83 0.792
4.2e+03 2.75 1.84 0.8
4.3e+03 2.8 1.89 0.829
4.4e+03 2.74 1.86 0.797
4.5e+03 2.72 1.84 0.784
4.6e+03 2.74 1.83 0.778
4.7e+03 2.77 1.85 0.794
4.8e+03 2.72 1.83 0.789
4.9e+03 2.72 1.8 0.783
5e+03 2.75 1.8 0.771
5.1e+03 2.77 1.8 0.771
5.2e+03 2.77 1.8 0.776
5.3e+03 2.82 1.82 0.794
5.4e+03 2.8 1.82 0.802
5.5e+03 2.82 1.82 0.796
5.6e+03 2.8 1.8 0.787
5.7e+03 2.77 1.81 0.781
5.8e+03 2.72 1.77 0.738
5.9e+03 2.74 1.78 0.758
6e+03 2.71 1.75 0.739
6.1e+03 2.68 1.73 0.721
6.2e+03 2.66 1.71 0.712
6.3e+03 2.65 1.68 0.713
6.4e+03 2.7 1.73 0.729
6.5e+03 2.73 1.73 0.734
6.6e+03 2.77 1.73 0.748
6.7e+03 2.82 1.77 0.775
6.8e+03 2.85 1.8 0.799
6.9e+03 2.84 1.81 0.804
7e+03 2.89 1.82 0.819
7.1e+03 2.89 1.84 0.819
7.2e+03 2.89 1.83 0.797
7.3e+03 2.9 1.83 0.802
7.4e+03 2.94 1.87 0.821
7.5e+03 2.98 1.89 0.839
7.6e+03 3 1.91 0.846
7.7e+03 2.98 1.92 0.85
7.8e+03 2.97 1.93 0.858
7.9e+03 2.98 1.93 0.862
8e+03 2.98 1.93 0.855
8.1e+03 2.98 1.94 0.847
8.2e+03 3.02 1.98 0.871
8.3e+03 2.97 1.94 0.863
8.4e+03 2.96 1.95 0.857
8.5e+03 2.92 1.9 0.834
8.6e+03 2.95 1.93 0.848
8.7e+03 2.94 1.92 0.854
8.8e+03 2.92 1.92 0.856
8.9e+03 2.95 1.95 0.864
9e+03 2.97 1.97 0.879
9.1e+03 2.97 1.98 0.878
9.2e+03 2.97 1.98 0.856
9.3e+03 3 2.01 0.864
9.4e+03 3.02 2.01 0.878
9.5e+03 3.01 2 0.88
9.6e+03 3.01 1.99 0.884
9.7e+03 3 1.99 0.878
9.8e+03 2.99 1.98 0.88
9.9e+03 3.01 1.96 0.882
1e+04 3.01 1.97 0.884
1.1e+04 3.04 1.94 0.882
1.2e+04 3.04 1.92 0.867
1.3e+04 3.08 1.94 0.889
1.4e+04 3.08 1.95 0.894
1.5e+04 3.07 1.96 0.908
1.6e+04 3.05 1.92 0.899
